"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"355","ASX falls as ANZ, CBA drag on share market (http://t.co/9XGnqasV51) http://t.co/ri32IVTquF http://t.co/YOHyBcsBse",FALSE,0,NA,2015-02-17 03:34:07,FALSE,NA,"567527387139567618",NA,"<a href=""http://www.1001portails.com"" rel=""nofollow"">curation2web</a>","1001ptsAU",0,FALSE,FALSE,NA,NA
"356","Australian woman shocked by balance of $10 million on bank receipt http://t.co/KdsaD81GVE",FALSE,0,NA,2015-02-17 03:33:43,FALSE,NA,"567527285113499649",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","tech_politics",0,FALSE,FALSE,NA,NA
"357","ICC_CWC_2O15
Pool_A MaTcH_N0_6
+ ANZ_vS_SCOT
SCO_143-10) +
AnZ_146-7) NZ Won
By 3 WicKet in
Ovs_24.5) ovs +
Vettori_8* Milne_1*",FALSE,0,NA,2015-02-17 03:33:40,FALSE,NA,"567527270156226560",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Sharjeel_khan5",0,FALSE,FALSE,NA,NA
"358","RT @BigDataBlogs: ANZ Blog » Big Data in Utilities: Why You Shouldn’t Believe the Hype: Twelve months ago, thi... http://t.co/ewLVJ57JB1 #B…",FALSE,0,NA,2015-02-17 03:33:22,FALSE,NA,"567527195979943936",NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">appXesco</a>","aleson_es",8,TRUE,FALSE,NA,NA
"359","RT @BLACKCAPS: .@ronchi04 has great memories of this ground, how good was his 170* here v @OfficialSLC in the ANZ International Series? Ver…",FALSE,0,NA,2015-02-17 03:32:35,FALSE,NA,"567527001326501888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dilanka25",8,TRUE,FALSE,NA,NA
"360","RT @LenoreMiller: Found this on the streets of New Lambton - next door to @ANZ_AU http://t.co/um59JWP4il",FALSE,0,NA,2015-02-17 03:32:18,FALSE,NA,"567526928907632640",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","lindyasimus",1,TRUE,FALSE,NA,NA
"361","RT @BigDataBlogs: ANZ Blog » Big Data in Utilities: Why You Shouldn’t Believe the Hype: Twelve months ago, thi... http://t.co/ewLVJ57JB1 #B…",FALSE,0,NA,2015-02-17 03:32:14,FALSE,NA,"567526910629261312",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",8,TRUE,FALSE,NA,NA
"362","ANZ shares fall most in 15 months on loan margins via @Sonarayanan http://t.co/KOwSO11C7g @edwardrjohnson @BNAustralia @brettfoley1",FALSE,0,NA,2015-02-17 03:31:39,FALSE,NA,"567526765674110976",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","darrenboey",0,FALSE,FALSE,NA,NA
"363","RT @BigDataBlogs: ANZ Blog » Big Data in Utilities: Why You Shouldn’t Believe the Hype: Twelve months ago, thi... http://t.co/ewLVJ57JB1 #B…",FALSE,0,NA,2015-02-17 03:31:34,FALSE,NA,"567526744664453121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SJCBusiness",8,TRUE,FALSE,NA,NA
"364","Australian woman shocked by balance of $10 million on bank receipt http://t.co/5Q2GAoQQbT",FALSE,0,NA,2015-02-17 03:31:15,FALSE,NA,"567526665744429057",NA,"<a href=""http://www.sharedby.co"" rel=""nofollow"">SharedBy</a>","shuhabtrq",0,FALSE,FALSE,NA,NA
"365","From Mashable: Australian woman shocked by balance of $10 million on bank receipt http://t.co/mKAtQJfHpa",FALSE,0,NA,2015-02-17 03:30:54,FALSE,NA,"567526575558512640",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","TheDeadlySnail",0,FALSE,FALSE,NA,NA
"366","We were proud to help launch the 8th edition of the ANZ Championship today! @ANZChamps #anzcourtside http://t.co/XJOT8iOTpD",FALSE,4,NA,2015-02-17 03:30:38,FALSE,NA,"567526509246550017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ANZ_NZ",6,FALSE,FALSE,NA,NA
"367","Priceless...Australian woman shocked by balance of $10 million on bank receipt http://t.co/xnVA3eiymY #money #mistake http://t.co/OL340Mh7Pp",FALSE,0,NA,2015-02-17 03:30:22,FALSE,NA,"567526440489721857",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Roger_M_Taylor",0,FALSE,FALSE,NA,NA
"368","Found this on the streets of New Lambton - next door to @ANZ_AU http://t.co/um59JWP4il",FALSE,0,NA,2015-02-17 03:29:14,FALSE,NA,"567526154744000512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LenoreMiller",1,FALSE,FALSE,"151.71374061","-32.92225207"
"369","Australian woman shocked by balance of $10 million on bank receipt http://t.co/LEPpqeuMVo",FALSE,0,NA,2015-02-17 03:29:02,FALSE,NA,"567526106216292353",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Gus_Benidorm",0,FALSE,FALSE,NA,NA
"370","RT @WGEAgency: Mike Smith: Four realities of workplace gender imbalance via @ANZ_BlueNotes http://t.co/fczazipcVg",FALSE,0,NA,2015-02-17 03:27:56,FALSE,NA,"567525830608158720",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","LynnCEO",5,TRUE,FALSE,NA,NA
