"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"643","Not even got all Justin's songs on my phone yet but I cba to download anymore music",FALSE,0,NA,2015-02-17 01:55:22,FALSE,NA,"567502533229572096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","harunemakino1",0,FALSE,FALSE,NA,NA
"644","This club playing indie tracks and I still cba to dance, duck this",FALSE,0,NA,2015-02-17 01:55:15,FALSE,NA,"567502503668092928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","josephatko96",0,FALSE,FALSE,NA,NA
"645","@haidar_altaie ye and the realisation that exams are 3 months away lmao I cba anymore",FALSE,0,"haidar_altaie",2015-02-17 01:54:57,FALSE,"567502200017256448","567502431270227968","232357527","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliShakarji_",0,FALSE,FALSE,NA,NA
"646","RT @CBA_Wave: Congrats to the 14u CBA Wave on winning the xtream diamond event in San Diego. Great work this weekend boys. #cbafamily #prog…",FALSE,0,NA,2015-02-17 01:54:19,FALSE,NA,"567502271223566338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CBATitans",2,TRUE,FALSE,NA,NA
"647","ABC - ASX falls as ANZ, CBA drag on share market http://t.co/vNRxuxNLWT",FALSE,0,NA,2015-02-17 01:54:08,FALSE,NA,"567502225522434048",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","xrlent",0,FALSE,FALSE,NA,NA
"648","ASX falls as ANZ, CBA drag on share market http://t.co/qWlUw9hoyk",FALSE,0,NA,2015-02-17 01:54:08,FALSE,NA,"567502222338973696",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","KangenGaa",0,FALSE,FALSE,NA,NA
"649","ASX falls as ANZ, CBA drag on share market http://t.co/foW108Oi9M",FALSE,0,NA,2015-02-17 01:54:07,FALSE,NA,"567502219570733057",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","krs21da",0,FALSE,FALSE,NA,NA
"650","Just in: ASX falls as ANZ, CBA drag on share market http://t.co/uQfIx3jk2h #news",FALSE,0,NA,2015-02-17 01:53:55,FALSE,NA,"567502169406857216",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","dimensionfour",0,FALSE,FALSE,NA,NA
"651","The Australian share market is trading lower, but has recovered from steeper losses at the start of the day. http://t.co/TcWYThylGx",FALSE,0,NA,2015-02-17 01:53:53,FALSE,NA,"567502162192637952",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","PaulHeck",0,FALSE,FALSE,NA,NA
"652","RT @Section3Confess: ""CBA: Where the highlight of our vice principles day is looking at the text messages on the phones that he takes."" #CB…",FALSE,0,NA,2015-02-17 01:53:33,FALSE,NA,"567502078650904576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dan_robinson23",8,TRUE,FALSE,NA,NA
"653","@ColaEdits define cba",FALSE,0,"ColaEdits",2015-02-17 01:53:31,FALSE,"567502044702203904","567502069284995072","1347524275","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ColaEdits",0,FALSE,FALSE,NA,NA
"654","#Ahora Largo @delatierramusic  power power #CR15",FALSE,0,NA,2015-02-17 01:53:29,FALSE,NA,"567502059235459073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InYourFace_Cba",0,FALSE,FALSE,NA,NA
"655","ASX falls as ANZ, CBA drag on share market http://t.co/Zn0PgJPA09 #abcnews http://t.co/6xZMhHLods",FALSE,0,NA,2015-02-17 01:52:22,FALSE,NA,"567501777952862208",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","androworldnews",0,FALSE,FALSE,NA,NA
"656","ASX falls as ANZ, CBA drag on share market http://t.co/Fpxp6Azadi #abcnews",FALSE,0,NA,2015-02-17 01:52:17,FALSE,NA,"567501760152211457",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","allinonesgnews",0,FALSE,FALSE,NA,NA
"657","@r_uhi NZ's bowlers are fire.. wtf go away cba talking about cricket with a girl",FALSE,0,"r_uhi",2015-02-17 01:51:59,FALSE,"567501014597894144","567501681173483521","766261639","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FUCKKKKKKKKKKER",0,FALSE,FALSE,NA,NA
"658","https://t.co/IHs0qQYo08 uploaded this scrap yo im not finishing this too lazy cba",FALSE,1,NA,2015-02-17 01:51:46,FALSE,NA,"567501626689466368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","remmvm",0,FALSE,FALSE,NA,NA
"659","ASX falls as ANZ, CBA drag on share market http://t.co/srHTndf3TA",FALSE,0,NA,2015-02-17 01:51:37,FALSE,NA,"567501591348248577",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ThePeakOilPoet",0,FALSE,FALSE,NA,NA
"660","back to sleep goodnight i love zayn and there was a larry moment bc i cba to dhare i want to sleep and the screen is too bright",FALSE,1,NA,2015-02-17 01:51:36,FALSE,NA,"567501587640119296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nabulax",0,FALSE,FALSE,NA,NA
"661","cba ~ night x",FALSE,14,NA,2015-02-17 01:51:10,FALSE,NA,"567501477527425026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joshuabrand1",0,FALSE,FALSE,"-1.5854768","53.82343597"
"662","@xUnder_ @ChainDesigns picture maker for cn i cba",FALSE,1,"xUnder_",2015-02-17 01:51:03,FALSE,"567501337957388290","567501446913228800","365084505","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HAVllX",0,FALSE,FALSE,NA,NA
"663","cba fakkkkk offfffff",FALSE,0,NA,2015-02-17 01:50:52,FALSE,NA,"567501403376332801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EFURUCOLE",0,FALSE,FALSE,NA,NA
"664","Cba to wait on a call that ain't coming",FALSE,0,NA,2015-02-17 01:50:25,FALSE,NA,"567501288645332993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TruthTellerRox",0,FALSE,FALSE,NA,NA
"665","CBA needs to quit playing and just cancel school",FALSE,6,NA,2015-02-17 01:50:20,FALSE,NA,"567501265723473920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TommyGiles12",2,FALSE,FALSE,"-74.04360231","40.30197016"
"666","@SoTotallyXray @MegunCasey @DeansterT want me to delete everything about today and ill say sorry cuz i cba arguing bout this any longer?",FALSE,0,"SoTotallyXray",2015-02-17 01:50:07,FALSE,"567500949275836417","567501213605060608","398264458","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeorgieLFC",0,FALSE,FALSE,NA,NA
